100;Pedro Andrade;276459243;930817398
101;Afonso Corte-Real;357253981;91253912
102;Alexandre Machado;246809812;917635003
103;Beatriz Silva;123456789;912345678
104;Carlos Santos;987654321;919876543
105;Daniela Costa;192837465;918273645
106;Eduardo Pereira;564738291;917364829
107;Fernanda Oliveira;837465192;916283746
108;Gustavo Almeida;374829165;915647382
109;Helena Martins;918273645;914738291
110;Igor Ferreira;564738291;913647382
111;Joana Sousa;123456780;912345679
112;Luis Mendes;987654320;919876544
113;Mariana Lopes;192837460;918273646
114;Nuno Rodrigues;564738290;917364828
115;Olivia Costa;837465190;916283745
116;Paulo Almeida;374829160;915647381
117;Quinta Martins;918273640;914738290
118;Rui Ferreira;564738280;913647381
119;Sara Silva;123456770;912345670
120;Tiago Santos;987654310;919876530
121;Ursula Costa;192837450;918273630
122;Vitor Pereira;564738270;917364820
123;Wanda Oliveira;837465180;916283740
124;Xavier Almeida;374829150;915647370
125;Yara Martins;918273620;914738270
126;Zeca Ferreira;564738260;913647370
127;Ana Sousa;123456760;912345660
128;Bruno Mendes;987654300;919876520
129;Carla Lopes;192837440;918273620
130;Diogo Rodrigues;564738250;917364810
131;Eva Costa;837465170;916283730
132;Filipe Almeida;374829140;915647360
133;Gabriela Martins;918273610;914738260
134;Hugo Ferreira;564738240;913647360
135;Isabel Silva;123456750;912345650
136;Jorge Santos;987654290;919876510
137;Katia Costa;192837430;918273610
138;Leonardo Pereira;564738230;917364800
139;Marta Oliveira;837465160;916283720
140;Nelson Almeida;374829130;915647350
141;Olga Martins;918273600;914738250
142;Pedro Ferreira;564738220;913647350
143;Quintino Sousa;123456740;912345640
144;Rita Mendes;987654280;919876500
145;Sofia Lopes;192837420;918273600
146;Tomás Rodrigues;564738210;917364790
147;Ursula Costa;837465150;916283710
148;Vasco Almeida;374829120;915647340
149;Wanda Martins;918273590;914738240
150;Xavier Ferreira;564738200;913647340
151;Yara Silva;123456730;912345630
152;Zeca Santos;987654270;919876490
153;Ana Costa;192837410;918273590
154;Bruno Pereira;564738190;917364780
155;Carla Oliveira;837465140;916283700
156;Diogo Almeida;374829110;915647330
157;Eva Martins;918273580;914738230
158;Filipe Ferreira;564738180;913647330
159;Gabriela Sousa;123456720;912345620
160;Hugo Mendes;987654260;919876480
161;Isabel Lopes;192837400;918273580
162;Jorge Rodrigues;564738170;917364770
163;Katia Costa;837465130;916283690
164;Leonardo Almeida;374829100;915647320
165;Marta Martins;918273570;914738220
166;Nelson Ferreira;564738160;913647320
167;Olga Silva;123456710;912345610
168;Pedro Santos;987654250;919876470
169;Quinta Costa;192837390;918273570
170;Rui Pereira;564738150;917364760
171;Sara Oliveira;837465120;916283680
172;Tiago Almeida;374829090;915647310
173;Ursula Martins;918273560;914738210
174;Vitor Ferreira;564738140;913647310
175;Wanda Sousa;123456700;912345600
176;Xavier Mendes;987654240;919876460
177;Yara Lopes;192837380;918273560
178;Zeca Rodrigues;564738130;917364750
179;Ana Costa;837465110;916283670
180;Bruno Almeida;374829080;915647300
181;Carla Martins;918273550;914738200
182;Diogo Ferreira;564738120;913647300
183;Eva Silva;123456690;912345590
184;Filipe Santos;987654230;919876450
185;Gabriela Costa;192837370;918273550
186;Hugo Pereira;564738110;917364740
187;Isabel Oliveira;837465100;916283660
188;Jorge Almeida;374829070;915647290
189;Katia Martins;918273540;914738190
190;Leonardo Ferreira;564738100;913647290
191;Marta Sousa;123456680;912345580
192;Nelson Mendes;987654220;919876440
193;Olga Lopes;192837360;918273540
194;Pedro Rodrigues;564738090;917364730
195;Quinta Costa;837465090;916283650
196;Rui Almeida;374829060;915647280
197;Sara Martins;918273530;914738180
198;Tiago Ferreira;564738080;913647280
199;Ursula Silva;123456670;912345570
200;Vitor Santos;987654210;919876430
201;Wanda Costa;192837350;918273530
202;Xavier Pereira;564738070;917364720
203;Yara Oliveira;837465080;916283640
204;Zeca Almeida;374829050;915647270
205;Ana Martins;918273520;914738170
206;Bruno Ferreira;564738060;913647270
207;Carla Sousa;123456660;912345560
208;Diogo Mendes;987654200;919876420
209;Eva Lopes;192837340;918273520
210;Filipe Rodrigues;564738050;917364710
211;Gabriela Costa;837465070;916283630
212;Hugo Almeida;374829040;915647260
213;Isabel Martins;918273510;914738160
214;Jorge Ferreira;564738040;913647260
215;Katia Silva;123456650;912345550
216;Leonardo Santos;987654190;919876410
217;Marta Costa;192837330;918273510
218;Nelson Pereira;564738030;917364700
219;Olga Oliveira;837465060;916283620
220;Pedro Almeida;374829030;915647250
221;Quinta Martins;918273500;914738150
222;Rui Ferreira;564738020;913647250
223;Sara Sousa;123456640;912345540
224;Tiago Mendes;987654180;919876400
225;Ursula Lopes;192837320;918273500
226;Vitor Rodrigues;564738010;917364690
227;Wanda Costa;837465050;916283610
228;Xavier Almeida;374829020;915647240
229;Yara Martins;918273490;914738140
230;Zeca Ferreira;564738000;913647240
231;Ana Silva;123456630;912345530
232;Bruno Santos;987654170;919876390
233;Carla Costa;192837310;918273490
234;Diogo Pereira;564737990;917364680
235;Eva Oliveira;837465040;916283600
236;Filipe Almeida;374829010;915647230
237;Gabriela Martins;918273480;914738130
238;Hugo Ferreira;564737980;913647230
239;Isabel Sousa;123456620;912345520
240;Jorge Mendes;987654160;919876380
241;Katia Lopes;192837300;918273480
242;Leonardo Rodrigues;564737970;917364670
243;Marta Costa;837465030;916283590
244;Nelson Almeida;374829000;915647220
245;Olga Martins;918273470;914738120
246;Pedro Ferreira;564737960;913647220
247;Quinta Silva;123456610;912345510
248;Rita Santos;987654150;919876370
249;Sofia Costa;192837290;918273470
250;Tomás Pereira;564737950;917364660
251;Ursula Oliveira;837465020;916283580
252;Vasco Almeida;374828990;915647210
253;Wanda Martins;918273460;914738110
254;Xavier Ferreira;564737940;913647210
255;Yara Sousa;123456600;912345500
256;Zeca Mendes;987654140;919876360
257;Ana Lopes;192837280;918273460
258;Bruno Rodrigues;564737930;917364650
259;Carla Costa;837465010;916283570
260;Diogo Almeida;374828980;915647200
261;Eva Martins;918273450;914738100
262;Filipe Ferreira;564737920;913647200
263;Gabriela Silva;123456590;912345490
264;Hugo Santos;987654130;919876350
265;Isabel Costa;192837270;918273450
266;Jorge Pereira;564737910;917364640
267;Katia Oliveira;837465000;916283560
268;Leonardo Almeida;374828970;915647190
269;Marta Martins;918273440;914738090
270;Nelson Ferreira;564737900;913647190
271;Olga Sousa;123456580;912345480
272;Pedro Mendes;987654120;919876340
273;Quinta Lopes;192837260;918273440
274;Rui Rodrigues;564737890;917364630
275;Sara Costa;837464990;916283550
276;Tiago Almeida;374828960;915647180
277;Ursula Martins;918273430;914738080
278;Vitor Ferreira;564737880;913647180
279;Wanda Silva;123456570;912345470
280;Xavier Santos;987654110;919876330
281;Yara Costa;192837250;918273430
282;Zeca Pereira;564737870;917364620
283;Ana Oliveira;837464980;916283540
284;Bruno Almeida;374828950;915647170
285;Carla Martins;918273420;914738070
286;Diogo Ferreira;564737860;913647170
287;Eva Sousa;123456560;912345460
288;Filipe Mendes;987654100;919876320
289;Gabriela Lopes;192837240;918273420
290;Hugo Rodrigues;564737850;917364610
291;Isabel Costa;837464970;916283530
292;Jorge Almeida;374828940;915647160
293;Katia Martins;918273410;914738060
294;Leonardo Ferreira;564737840;913647160
295;Marta Silva;123456550;912345450
296;Nelson Santos;987654090;919876310
297;Olga Costa;192837230;918273410
298;Pedro Pereira;564737830;917364600
299;Quinta Oliveira;837464960;916283520
300;Rui Almeida;374828930;915647150
